2025-12-05 02:47:52.831 | INFO     | [Api.api:get_best_instance:73] | instances_metrics: {'prefill_001': {'prealloc_queue': 5.0, 'infight_queue': 4.0, 'weighted_load': 4.3}, 'prefill_002': {'prealloc_queue': 9.0, 'infight_queue': 0.0, 'weighted_load': 2.6999999999999997}, 'prefill_003': {'prealloc_queue': 0.0, 'infight_queue': 3.0, 'weighted_load': 2.0999999999999996}}
2025-12-05 02:47:55.798 | INFO     | [Sentry_manager.Sentry:_ping:58] | [Heartbeat] http://127.0.0.1:9992/v1/health FAILED ❌: Failed to perform, curl: (7) Failed to connect to 127.0.0.1 port 9992 after 0 ms: Could not connect to server. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2025-12-05 02:48:08.784 | INFO     | [persistence.snap_manager:take_snapshot:134] | snapshot_trigger_version:4 freeze_finish_version:1
2025-12-05 02:52:13.016 | INFO     | [utils.logger:setup_logger:52] | Logger initialized -> level=INFO, dir=./logs, rotation=200 MB, retention=30 days
2025-12-05 02:52:13.016 | INFO     | [__main__:main:21] | ==== Nexuts Service Starting ====
2025-12-05 02:52:13.017 | INFO     | [nexuts:__init__:20] | Nexuts Config : {'snapshot_dir': '/data/nexuts/snapshot_dir', 'snapshot_interval_seconds': 30, 'WalManager_dir': '/data/nexuts/wal_dir', 'db_path': '/data/info_center.db', 'sentry_heartbeat_cycle': 5, 'resume': 1, 'load_balancing_weights': {'prealloc': 0.3, 'inflight': 0.7}}
2025-12-05 02:52:13.018 | INFO     | [persistence.snap_manager:load_snapshot:181] | Loading snapshot snapshot_data [{'id': 0, 'key': None, 'value': None, 'decode_string': None, 'children': [], 'version': 0}]
2025-12-05 02:52:13.019 | INFO     | [nexuts:_recover_from_db:265] | [Recovery] 恢复了 1 个 sentry 节点
2025-12-05 02:52:13.023 | INFO     | [Sentry_manager.Sentry:_ping:58] | [Heartbeat] http://127.0.0.1:9992/v1/health FAILED ❌: Failed to perform, curl: (7) Failed to connect to 127.0.0.1 port 9992 after 0 ms: Could not connect to server. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2025-12-05 02:52:22.569 | INFO     | [nexuts:register_instance:207] | [Register] sentry=test_sentry, instance=prefill_001, type=prefill 注册成功
2025-12-05 02:52:22.573 | INFO     | [nexuts:register_instance:207] | [Register] sentry=test_sentry, instance=prefill_002, type=prefill 注册成功
2025-12-05 02:52:22.576 | INFO     | [nexuts:register_instance:207] | [Register] sentry=test_sentry, instance=prefill_003, type=prefill 注册成功
2025-12-05 02:52:24.578 | INFO     | [Api.api:get_best_instance:76] | instances_status: {'prefill_001': True, 'prefill_002': True, 'prefill_003': True}
2025-12-05 02:52:24.579 | INFO     | [Api.api:get_best_instance:77] | instances_metrics: {}
2025-12-05 02:52:24.601 | INFO     | [Api.api:get_best_instance:76] | instances_status: {'prefill_001': True, 'prefill_002': True, 'prefill_003': True}
2025-12-05 02:52:24.601 | INFO     | [Api.api:get_best_instance:77] | instances_metrics: {}
2025-12-05 02:52:27.570 | INFO     | [Sentry_manager.Sentry:_ping:58] | [Heartbeat] http://127.0.0.1:9992/v1/health FAILED ❌: Failed to perform, curl: (7) Failed to connect to 127.0.0.1 port 9992 after 0 ms: Could not connect to server. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2025-12-05 02:52:43.018 | INFO     | [persistence.snap_manager:take_snapshot:134] | snapshot_trigger_version:4 freeze_finish_version:1
2025-12-05 02:55:39.975 | INFO     | [utils.logger:setup_logger:52] | Logger initialized -> level=INFO, dir=./logs, rotation=200 MB, retention=30 days
2025-12-05 02:55:39.975 | INFO     | [__main__:main:21] | ==== Nexuts Service Starting ====
2025-12-05 02:55:39.977 | INFO     | [nexuts:__init__:20] | Nexuts Config : {'snapshot_dir': '/data/nexuts/snapshot_dir', 'snapshot_interval_seconds': 30, 'WalManager_dir': '/data/nexuts/wal_dir', 'db_path': '/data/info_center.db', 'sentry_heartbeat_cycle': 5, 'resume': 1, 'load_balancing_weights': {'prealloc': 0.3, 'inflight': 0.7}}
